id,reference,name,strain,media,temperature,lifespans,,,,,,,,,,,,,,,,,,,
1,1,Wild Type,GS1875,YPD,30,32,49,38,30,18,24,25,28,15,24,24,35,29,32,25,15,26,44,39,25
2,1,sod2,GS1596,YPD,30,7,27,32,20,34,33,17,15,7,30,41,1,44,22,10,18,2,1,14,2
3,1,sir2,JD100,YPD,30,21,4,10,20,11,34,12,11,10,20,14,10,12,17,10,16,19,16,12,10
4,1,Wild Type,GS1875,YPD + 5 uM CuSO4 * 5 H2O,30,18,23,22,20,30,15,11,23,7,1,22,15,12,29,14,45,14,15,17,15
5,1,sod2,GS1596,YPD + 5 uM CuSO4 * 5 H2O,30,7,37,59,13,19,34,4,29,25,24,36,36,12,33,26,10,31,12,29,11
6,1,sir2,JD100,YPD + 5 uM CuSO4 * 5 H2O,30,16,7,12,16,13,10,23,11,15,15,11,14,12,19,22,14,8,12,12,11
7,1,Wild Type,GS1875,YPD + 62 uM CuSO4 * 5 H2O,30,25,19,24,12,28,24,19,35,1,21,52,18,16,12,35,15,16,37,2,26
8,1,sod2,GS1596,YPD + 62 uM CuSO4 * 5 H2O,30,37,33,34,12,36,7,49,32,30,37,26,9,5,32,6,40,18,28,31,29
9,1,sir2,JD100,YPD + 62 uM CuSO4 * 5 H2O,30,13,23,21,12,15,16,13,15,10,24,12,11,12,16,15,22,8,11,17,11
10,1,Wild Type,GS1875,YPD + 100 uM CuSO4 * 5 H2O,30,27,24,15,19,8,31,24,9,11,29,14,23,15,19,20,22,32,13,11,32
11,1,sod2,GS1596,YPD + 100 uM CuSO4 * 5 H2O,30,21,43,28,19,21,27,12,17,43,41,18,39,12,42,5,31,4,28,5,30
12,1,sir2,JD100,YPD + 100 uM CuSO4 * 5 H2O,30,18,10,18,10,22,11,20,14,1,20,11,15,11,19,10,11,11,10,18,14
13,1,Wild Type,GS1875,YPD + 500 uM CuSO4 * 5 H2O,30,28,9,21,36,22,43,31,11,14,19,23,51,21,33,34,19,31,38,23,22
14,1,sod2,GS1596,YPD + 500 uM CuSO4 * 5 H2O,30,23,45,42,45,27,27,14,13,23,19,38,39,1,38,26,11,22,35,34,52
15,1,sir2,JD100,YPD + 500 uM CuSO4 * 5 H2O,30,25,11,13,13,19,16,12,16,16,5,9,19,15,17,14,10,19,14,24,8
16,1,Wild Type,GS1875,3% Gly,30,16,19,33,4,36,30,33,20,27,25,23,32,13,18,18,20,16,24,41,23
17,1,sod2,GS1596,3% Gly,30,8,7,6,5,8,8,6,11,3,3,8,8,8,7,5,4,4,7,5,9
18,1,sir2,JD100,3% Gly,30,6,10,15,14,20,17,15,11,16,21,21,11,11,14,12,19,7,9,13,11
19,1,Wild Type,GS1875,3% Gly + 5 uM CuSO4 * 5 H2O,30,24,25,19,22,34,17,55,32,24,25,24,21,37,16,39,19,9,27,35,51
20,1,sod2,GS1596,3% Gly + 5 uM CuSO4 * 5 H2O,30,17,18,15,11,10,25,15,12,16,20,16,7,25,13,15,8,20,16,17,9
21,1,sir2,JD100,3% Gly + 5 uM CuSO4 * 5 H2O,30,19,24,9,16,11,17,13,28,13,18,14,22,16,32,7,15,12,13,10,14
22,1,Wild Type,GS1875,3% Gly + 62 uM CuSO4 * 5 H2O,30,15,21,14,22,38,38,24,49,28,38,18,10,25,37,28,29,32,32,49,13
23,1,sod2,GS1596,3% Gly + 62 uM CuSO4 * 5 H2O,30,21,19,16,19,10,7,5,16,17,9,12,11,7,11,11,17,30,14,11,3
24,1,sir2,JD100,3% Gly + 62 uM CuSO4 * 5 H2O,30,7,18,10,19,13,17,9,12,19,13,14,27,21,24,28,11,10,13,15,19
25,1,Wild Type,GS1875,3% Gly + 100 uM CuSO4 * 5 H2O,30,12,24,29,36,26,22,27,42,38,59,12,26,23,51,30,25,29,42,34,11
26,1,sod2,GS1596,3% Gly + 100 uM CuSO4 * 5 H2O,30,6,4,19,18,9,16,8,22,16,8,20,17,17,16,42,20,12,19,7,39
27,1,sir2,JD100,3% Gly + 100 uM CuSO4 * 5 H2O,30,7,18,22,20,21,11,13,6,21,14,9,18,13,16,18,17,13,11,37,32
28,1,Wild Type,GS1875,3% Gly + 500 uM CuSO4 * 5 H2O,30,21,29,24,32,30,42,27,19,18,5,21,43,26,45,22,18,45,20,35,35
29,1,sod2,GS1596,3% Gly + 500 uM CuSO4 * 5 H2O,30,27,22,29,26,16,13,12,22,20,16,24,30,17,12,39,26,27,14,29,13
30,1,sir2,JD100,3% Gly + 500 uM CuSO4 * 5 H2O,30,12,17,12,10,17,4,6,2,23,13,15,14,14,12,9,9,21,12,7,1
